idx,result,time_s,max_depth,avg_depth,mincheck_calls,mincheck_time_s,added_clauses
1190,UNSAT,,,,,,
1191,UNSAT,,,,,,
1192,UNSAT,,,,,,
1193,UNSAT,,,,,,
1194,UNSAT,,,,,,
1195,UNSAT,,,,,,
1196,UNSAT,,,,,,
1197,UNSAT,,,,,,
1198,UNSAT,,,,,,
1199,UNSAT,,,,,,
119,UNSAT,,,,,,
11,UNSAT,,,,,,
1200,UNSAT,,,,,,
1201,UNSAT,,,,,,
1202,UNSAT,,,,,,
1203,UNSAT,,,,,,
1204,UNSAT,,,,,,
1205,UNSAT,,,,,,
1206,UNSAT,,,,,,
1207,UNSAT,,,,,,
1208,UNSAT,,,,,,
1209,UNSAT,,,,,,
120,UNSAT,,,,,,
1210,UNSAT,,,,,,
1211,UNSAT,,,,,,
1212,UNSAT,,,,,,
1213,UNSAT,,,,,,
1214,UNSAT,,,,,,
1215,UNSAT,,,,,,
1216,UNSAT,,,,,,
1217,UNSAT,,,,,,
1218,UNSAT,,,,,,
1219,UNSAT,,,,,,
121,UNSAT,,,,,,
1220,UNSAT,,,,,,
1221,UNSAT,,,,,,
1222,UNSAT,,,,,,
1223,UNSAT,,,,,,
1224,UNSAT,,,,,,
1225,UNSAT,,,,,,
1226,UNSAT,,,,,,
1227,UNSAT,,,,,,
1228,UNSAT,,,,,,
1229,UNSAT,,,,,,
122,UNSAT,,,,,,
1230,UNSAT,,,,,,
1231,UNSAT,,,,,,
1232,UNSAT,,,,,,
1233,UNSAT,,,,,,
1234,UNSAT,,,,,,
1235,UNSAT,,,,,,
1236,UNSAT,,,,,,
1237,UNSAT,,,,,,
1238,UNSAT,,,,,,
1239,UNSAT,,,,,,
123,UNSAT,,,,,,
1240,UNSAT,,,,,,
1241,UNSAT,,,,,,
1242,UNSAT,,,,,,
1243,UNSAT,,,,,,
1244,UNSAT,,,,,,
1245,UNSAT,,,,,,
1246,UNSAT,,,,,,
1247,UNSAT,,,,,,
1248,UNSAT,,,,,,
1249,UNSAT,,,,,,
124,UNSAT,,,,,,
1250,UNSAT,,,,,,
1251,UNSAT,,,,,,
1252,UNSAT,,,,,,
1253,UNSAT,,,,,,
1254,UNSAT,,,,,,
1255,UNSAT,,,,,,
1256,UNSAT,,,,,,
1257,UNSAT,,,,,,
1258,UNSAT,,,,,,
1259,UNSAT,,,,,,
125,UNSAT,,,,,,
1260,UNSAT,,,,,,
1261,UNSAT,,,,,,
1262,UNSAT,,,,,,
1263,UNSAT,,,,,,
1264,UNSAT,,,,,,
1265,UNSAT,,,,,,
1266,UNSAT,,,,,,
1267,UNSAT,,,,,,
1268,UNSAT,,,,,,
1269,UNSAT,,,,,,
126,UNSAT,,,,,,
1270,UNSAT,,,,,,
1271,UNSAT,,,,,,
1272,UNSAT,,,,,,
1273,TIMEOUT,,,,,,
1274,ERROR,,,,,,
1275,ERROR,,,,,,
1276,UNSAT,,,,,,
1277,ERROR,,,,,,
1278,UNSAT,,,,,,
1279,UNSAT,,,,,,
127,UNSAT,,,,,,
1280,ERROR,,,,,,
1281,UNSAT,,,,,,
1282,ERROR,,,,,,
1283,UNSAT,128.979588,259,117.506895,12489,2.9890,7569
1284,UNSAT,312.926820,245,116.603114,41932,9.4111,20825
1285,UNSAT,21.417721,305,144.739254,2727,0.6522,2190
1286,UNSAT,395.580168,279,117.671295,45032,11.1719,29047
1287,UNSAT,970.108468,292,115.833918,120258,27.9082,48829
1288,UNSAT,14.013640,253,147.994091,1749,0.4151,1236
1289,UNSAT,1.920734,129,74.138158,5,0.0009,5
128,UNSAT,,,,,,
1290,UNSAT,8.617158,245,149.889013,1070,0.2214,781
1291,UNSAT,201.549121,258,117.785576,19482,4.6642,13279
1292,TIMEOUT,,,,,,
1293,UNSAT,189.483712,236,116.263103,19806,4.7839,8550
1294,TIMEOUT,,,,,,
1295,UNSAT,1.924374,90,46.000000,3,0.0005,3
1296,UNSAT,1.916593,90,46.000000,3,0.0005,3
1297,TIMEOUT,,,,,,
1298,TIMEOUT,,,,,,
1299,UNSAT,2560.357289,240,115.946502,255166,57.5762,97136
129,UNSAT,,,,,,
12,UNSAT,,,,,,
1300,TIMEOUT,,,,,,
1301,TIMEOUT,,,,,,
1302,UNSAT,36.338534,237,128.325117,2700,0.4867,1945
1303,UNSAT,1.801521,90,46.000000,3,0.0007,3
1304,UNSAT,98.483122,256,121.010838,10438,2.2113,6834
1305,UNSAT,156.652228,259,120.160950,19097,4.1155,13534
1306,UNSAT,1.455831,114,60.596639,4,0.0007,3
1307,UNSAT,58.888222,260,125.337674,5666,1.0927,3927
1308,UNSAT,1.858144,114,60.186441,4,0.0007,4
1309,UNSAT,10.941622,243,135.834975,1766,0.2928,1166
130,UNSAT,,,,,,
1310,UNSAT,4.298766,253,150.699545,778,0.1749,507
1311,UNSAT,6.906973,245,145.297460,1120,0.2082,822
1312,UNSAT,1.815001,92,47.000000,3,0.0007,3
1313,UNSAT,1.655114,115,61.000000,4,0.0005,4
1314,UNSAT,9.226030,251,147.099921,1671,0.3194,1110
1315,UNSAT,14.060055,267,144.878810,2926,0.5362,2442
1316,UNSAT,36.566992,253,136.460654,4519,0.7789,3777
1317,UNSAT,16.237618,278,143.207145,3789,0.5888,3217
1318,UNSAT,5.848982,266,149.225348,994,0.1979,540
1319,UNSAT,1.799566,95,48.500000,3,0.0003,3
131,UNSAT,,,,,,
1320,UNSAT,1.815205,95,48.500000,3,0.0004,3
1321,UNSAT,1.817733,92,47.000000,3,0.0005,3
1322,UNSAT,8.464130,254,148.164900,1592,0.2741,1105
1323,UNSAT,1.722645,92,47.000000,3,0.0006,3
1324,UNSAT,1.708345,90,46.000000,3,0.0006,3
1325,UNSAT,1.822068,90,46.000000,3,0.0005,3
1326,UNSAT,187.941842,259,116.490870,18168,4.5675,13151
1327,UNSAT,1.717849,114,60.546218,4,0.0007,4
1328,UNSAT,1.559742,90,46.000000,3,0.0003,3
1329,UNSAT,1.823458,114,60.546218,4,0.0006,4
132,UNSAT,,,,,,
1330,UNSAT,1.639097,90,46.000000,3,0.0004,3
1331,UNSAT,1.719320,90,46.000000,3,0.0006,3
1332,UNSAT,43.041329,265,129.263776,3761,0.8016,2970
1333,UNSAT,54.899648,245,124.021478,4152,0.9042,3734
1334,UNSAT,249.741158,253,116.900284,27519,6.5925,19967
1335,UNSAT,292.081813,253,117.632847,34095,8.6771,23965
1336,UNSAT,1.953439,90,46.000000,3,0.0005,3
1337,UNSAT,194.140699,245,117.480190,19521,4.5850,14114
1338,UNSAT,292.486035,253,116.714370,35353,8.5784,20373
1339,UNSAT,238.524542,247,119.230620,29227,6.5036,21413
133,UNSAT,,,,,,
1340,UNSAT,338.208284,253,118.386384,45322,10.1646,29353
1341,UNSAT,410.337510,275,119.481175,53523,12.7605,34321
1342,UNSAT,1.688113,90,46.000000,3,0.0005,3
1343,UNSAT,1.754563,90,46.000000,3,0.0004,3
1344,UNSAT,1.860346,125,72.020408,5,0.0007,5
1345,UNSAT,1.853364,125,71.863946,5,0.0007,5
1346,TIMEOUT,,,,,,
1347,UNSAT,4.288062,241,147.002822,615,0.1019,389
1348,UNSAT,6.284277,283,147.126586,893,0.1782,642
1349,UNSAT,1.823199,90,46.000000,3,0.0005,3
134,UNSAT,,,,,,
1350,UNSAT,1.752261,90,46.000000,3,0.0004,3
1351,UNSAT,1.666932,115,60.647059,4,0.0006,4
1352,UNSAT,1.754381,90,46.000000,3,0.0005,3
1353,UNSAT,1.767062,90,46.000000,3,0.0005,3
1354,UNSAT,4.348638,247,149.494845,673,0.1301,313
1355,UNSAT,57.951307,262,133.525327,5534,1.0634,3978
1356,UNSAT,5.888416,235,140.605963,1083,0.1798,588
1357,UNSAT,5.893585,267,154.130423,870,0.1674,607
1358,UNSAT,164.685010,254,119.239160,17995,3.6019,10857
1359,TIMEOUT,,,,,,
135,UNSAT,,,,,,
1360,UNSAT,3.560818,234,149.781937,565,0.1567,260
1361,UNSAT,5.550654,234,141.427643,813,0.1602,561
1362,UNSAT,897.508796,252,118.471090,98417,23.0260,52717
1363,UNSAT,8.445596,294,150.006339,1532,0.2647,1056
1364,UNSAT,3170.537972,250,117.142581,372015,89.0734,105101
1365,UNSAT,6.939349,241,136.708082,1015,0.1493,804
1366,UNSAT,79.223116,241,124.240974,9411,1.7927,6532
1367,UNSAT,33.109388,240,126.896484,2079,0.4046,1482
1368,UNSAT,1.799134,187,115.051576,12,0.0011,12
1369,UNSAT,4.133706,234,140.177402,527,0.1007,417
136,UNSAT,,,,,,
1370,UNSAT,209.441780,272,117.903157,22472,5.2983,16472
1371,UNSAT,35.664136,250,138.071030,2774,0.5655,2203
1372,UNSAT,116.877642,277,121.606732,13273,3.2307,9853
1373,UNSAT,259.401591,248,123.354089,28528,7.0381,22145
1374,TIMEOUT,,,,,,
1375,UNSAT,41.438562,250,143.457220,4247,0.8136,3313
1376,TIMEOUT,,,,,,
1377,UNSAT,1.792671,166,99.812766,8,0.0011,8
1378,UNSAT,1.753451,90,46.000000,3,0.0004,3
1379,UNSAT,1.805324,90,46.000000,3,0.0005,3
137,UNSAT,,,,,,
1380,UNSAT,1.822347,90,46.000000,3,0.0004,3
1381,UNSAT,1.699494,90,46.000000,3,0.0004,3
