graph_idx,is_complement,base_idx,tau,best_mask_hex,degree_new_vertex,time_s
486,true,243,35,3f0c3e817cc,22,1.7
487,false,244,29,3cf1fc033,19,1.7
488,true,244,29,3fc30c03fcc,22,1.7
489,false,245,28,3cf1fc033,19,1.7
490,true,245,28,3fc30c03fcc,22,1.7
491,false,246,39,fcf0ad433,20,1.6
492,true,246,39,3f030f52bcc,22,1.6
493,false,247,37,fcf05e833,20,1.7
494,true,247,37,3f030f52bcc,22,1.6
495,false,248,35,3ff0ad433,20,1.6
496,true,248,35,3fc00fa17cc,22,1.6
497,false,249,37,3ff05e833,20,1.6
498,true,249,37,3fc00fa17cc,22,1.6
499,false,250,33,3f3c5e833,20,1.6
500,true,250,33,3fc0c352bc8,21,1.6
501,false,251,31,3f3cad433,20,1.7
502,true,251,31,3fc0c352bc8,21,1.7
503,false,252,29,ffc3e033,19,1.6
504,true,252,29,3ff00383fcc,23,1.6
505,false,253,28,ffc7c033,19,1.7
506,true,253,28,3ff00343fcc,23,1.7
507,false,254,11,3277101dff,22,1.8
508,true,254,11,3cd88efe200,20,1.8
509,false,255,17,1cf940d5bf,22,1.7
510,true,255,17,3e306bfaa40,21,1.8
511,false,256,2,17e13a1ff,21,1.8
512,true,256,2,3fe81ec5e00,21,1.8
513,false,257,4,4fc13a1ff,21,1.8
514,true,257,4,3fb0bec5e00,22,1.8
515,false,258,31,7796160cf,19,1.7
516,true,258,31,3f8869b9f10,22,1.7
517,false,259,32,16f16150cf,19,1.7
518,true,259,32,3e90e9baf30,23,1.6
519,false,260,13,7522c61ff,20,1.7
520,true,260,13,3f8a9d39e00,21,1.8
521,false,261,12,a7d420aff,20,1.9
522,true,261,12,3f582bdf500,22,1.9
523,false,262,21,182fa122ff,20,1.7
524,true,262,21,3e7d05edd00,22,1.7
525,false,263,27,195e8222ff,20,1.7
526,true,263,27,3e6a17ddd00,22,1.7
527,false,264,10,8be6112ff,20,1.9
528,true,264,10,3f7419eed00,22,1.9
529,false,265,21,a4fa128ff,20,1.8
530,true,265,21,3f5b05ed700,22,1.7
531,false,266,21,92f3130ff,20,1.8
532,true,266,21,3f6d0cecf00,22,1.8
533,false,267,27,14bcc130ff,20,1.7
534,true,267,27,3eb433ecf00,22,1.7
535,false,268,27,d5e8124ff,20,1.7
536,true,268,27,3f2a17edb00,22,1.7
537,false,269,25,1007ea129bf,20,1.7
538,true,269,25,2ff895ad640,22,1.7
539,false,270,25,276a729bf,21,1.7
540,true,270,25,3fd8958d640,21,1.7
541,false,271,25,dd4f29bf,21,1.8
542,true,271,25,3ff02b2d640,21,1.7
543,false,272,17,3aac0e23df,21,1.7
544,true,272,17,3c553f1dc20,21,1.7
545,false,273,18,5b8a7837f,21,1.8
546,true,273,18,3fa47587c80,21,1.7
547,false,274,37,10272a4cafb,20,1.5
548,true,274,37,2fd8d4b3504,21,1.6
549,false,275,42,102ea98cafb,21,1.5
550,true,275,42,2fd15673504,21,1.5
551,false,276,37,66ec186fb,20,1.5
552,true,276,37,3f9992a7904,21,1.6
553,false,277,42,6db1b06fb,21,1.5
554,true,277,42,3f924e4f904,21,1.6
555,false,278,42,b569686fb,21,1.5
556,true,278,42,3f4a9697904,21,1.5
557,false,279,34,7b2aa46fb,21,1.6
558,true,279,34,3f84d55b904,21,1.6
559,false,280,28,3d4b646fb,21,1.7
