graph_idx,ev_1,ev_2,ev_3,ev_4,ev_5,ev_6,ev_7,ev_8,ev_9,ev_10,ev_11,ev_12,ev_13,ev_14,ev_15,ev_16,ev_17,ev_18,ev_19,ev_20,ev_21,ev_22,ev_23,ev_24,ev_25,ev_26,ev_27,ev_28,ev_29,ev_30,ev_31,ev_32,ev_33,ev_34,ev_35,ev_36,ev_37,ev_38,ev_39,ev_40,ev_41,ev_42
39,20.32256142,5.53236871,5.15978699,4.82808928,4.36210773,3.66063048,3.32356108,3.30915445,3.18859529,2.84219091,2.39222839,2.18212503,1.97795041,1.15551251,0.80526183,0.71431779,0.48086584,0.37429343,0.18093899,0.00293167,-0.09678140,-0.13900713,-0.64032921,-1.01839718,-1.16558887,-1.37970970,-1.87615936,-2.24847058,-2.69887638,-3.11491310,-3.19099803,-3.30226507,-3.57146943,-3.72487353,-4.03742863,-4.09273031,-4.30220435,-4.67169747,-4.82316384,-5.13466739,-5.24702788,-6.31871339
40,20.37858554,5.50581993,5.47319990,4.46859879,4.33385857,3.76150106,3.55717343,3.17708851,3.05302816,2.92070157,2.60369652,2.07271271,1.91126104,1.05045415,0.94016086,0.53913945,0.45133167,0.42267238,0.07247072,-0.02783454,-0.10947473,-0.12131775,-0.58972236,-0.69030584,-1.33815357,-1.53091827,-2.09492160,-2.23995593,-2.63395477,-3.07535272,-3.27295029,-3.33298396,-3.51795017,-3.58205834,-3.96081050,-4.08119199,-4.34597017,-4.61859435,-4.89578322,-5.04561918,-5.24223533,-6.34539541
41,20.51271616,5.52262685,4.32761337,4.14786249,3.67852725,3.65194722,3.54121129,3.25518572,2.86231738,2.72404603,2.47692076,2.34907625,2.26289964,1.91060447,1.60982022,1.45466176,0.79475029,0.68170609,-0.12828314,-0.30096740,-0.38249412,-0.74613857,-0.89830303,-1.01442999,-1.14520145,-1.32032311,-1.47880951,-1.71397639,-1.91081258,-2.21473599,-2.96180246,-3.06762015,-3.54932345,-3.79940490,-4.08427582,-4.34069826,-4.60551125,-4.68837080,-5.44805591,-5.48857437,-6.20642418,-6.26995642
42,20.37658829,5.52674269,5.45954760,4.47366193,4.31701708,3.84024437,3.63508646,3.25473870,3.01071821,2.89959005,2.69290689,2.06067297,1.81926493,1.03206994,0.90124680,0.51568902,0.38042634,0.17853242,0.03201647,-0.03285312,-0.12999801,-0.16082773,-0.43708554,-0.69173892,-1.33642615,-1.50472048,-2.09003492,-2.22222478,-2.56246120,-3.12453365,-3.22093296,-3.28793820,-3.42425914,-3.51136106,-3.96274091,-4.13373434,-4.30989606,-4.64304319,-4.96524461,-5.09382270,-5.21199590,-6.34888760
43,20.51885529,5.41689043,5.21377958,4.49549287,4.44609292,3.68868838,3.64237597,3.25360267,3.08278732,2.80666930,2.54420404,2.01613227,1.95287884,1.01903890,0.89391924,0.70467632,0.44502006,0.32746177,0.13259990,0.00658991,-0.10503055,-0.16766933,-0.60835669,-0.69956194,-0.89126041,-1.62596790,-1.78846905,-2.34563716,-2.61841218,-3.10071805,-3.26041263,-3.32139971,-3.43119700,-3.71796395,-3.89949836,-4.21704789,-4.55930843,-4.65458386,-4.70412983,-5.17678134,-5.19563831,-6.51871142
44,20.46896862,5.41682834,5.23260847,4.58668853,4.46382132,3.67781636,3.56098547,3.21728668,3.04514974,2.83595056,2.55582912,2.16100178,1.94721963,1.03730972,0.87128269,0.79575279,0.43081637,0.26238716,0.08738932,0.00129512,-0.12457001,-0.19273734,-0.64916788,-0.69501016,-0.94269102,-1.62415608,-1.78858932,-2.36696502,-2.63336460,-3.07786836,-3.21269818,-3.28106206,-3.45774676,-3.75945721,-3.91137791,-4.27020915,-4.50923924,-4.62921184,-4.68478374,-5.18916102,-5.21067376,-6.44564713
45,20.41935209,5.44381412,5.22347173,4.63600239,4.38493755,3.61609066,3.56396153,3.29408203,3.11316549,2.83214177,2.44839681,2.15833846,1.94327518,1.14981672,0.99017993,0.77255930,0.44864035,0.26174070,0.10116607,0.02018648,-0.11891422,-0.19216040,-0.66638017,-0.80675136,-0.96597372,-1.57998164,-1.86306368,-2.32845384,-2.67671766,-3.09070803,-3.21370476,-3.31427699,-3.58692433,-3.74023864,-3.91976542,-4.19499242,-4.42830956,-4.60693082,-4.76713154,-5.17485688,-5.20179113,-6.38329213
46,20.46659456,5.41693782,5.20592296,4.65918872,4.43311629,3.65428388,3.58342656,3.25224356,3.05829305,2.84219327,2.65138746,2.01076031,1.97138626,1.07607180,0.80750623,0.71462727,0.42067293,0.31770038,0.11056109,-0.07043636,-0.12807284,-0.18743167,-0.63472864,-0.70537117,-0.95233836,-1.55769891,-1.76040710,-2.36798726,-2.59142391,-3.07007350,-3.25185197,-3.35081295,-3.43424810,-3.71918087,-3.94773967,-4.28322170,-4.49803492,-4.59381282,-4.72066300,-5.16838851,-5.21916451,-6.43978568
47,20.41921404,5.44644869,5.20077137,4.67209421,4.39357864,3.65614300,3.51114534,3.28839804,3.15552263,2.81617324,2.56326750,2.01243081,1.96484919,1.18262864,0.88721061,0.70242469,0.43090345,0.31555079,0.13263178,-0.04380897,-0.11553825,-0.16829107,-0.66076827,-0.82394866,-0.96017145,-1.51782439,-1.82819573,-2.32300232,-2.63500328,-3.08181913,-3.27474521,-3.35075666,-3.48981610,-3.73713485,-3.97106670,-4.20416862,-4.39978025,-4.58370071,-4.81508297,-5.16728380,-5.20041754,-6.39906172
48,20.36910056,5.44675013,5.22027099,4.75678909,4.41227313,3.56664979,3.50452739,3.27710565,3.08961456,2.84303671,2.57380613,2.14932399,1.97637050,1.18968837,0.89937269,0.75156083,0.39149681,0.26255666,0.09374028,-0.04405069,-0.13192207,-0.19605711,-0.65986999,-0.74739959,-1.07851046,-1.51855339,-1.82833473,-2.34706948,-2.64761887,-3.07290158,-3.19570189,-3.33274028,-3.55476300,-3.73996312,-4.03166746,-4.19249821,-4.35190280,-4.60681480,-4.80366098,-5.18323914,-5.19925234,-6.30954228
49,20.41657555,5.41692899,5.22650841,4.71031705,4.48589221,3.58354907,3.56160681,3.21566131,3.01651593,2.85961150,2.67792140,2.15245692,1.97461368,1.09565239,0.83410330,0.74070694,0.36670800,0.26223134,0.08517382,-0.06976452,-0.16264399,-0.20673441,-0.60595507,-0.69854896,-1.03760910,-1.55826747,-1.75955687,-2.38908668,-2.60929943,-3.05989466,-3.19133223,-3.31828002,-3.46022285,-3.75209682,-3.99093726,-4.30948219,-4.40791240,-4.62091205,-4.70716013,-5.19467503,-5.21562519,-6.35673729
50,20.32310057,5.52959750,5.16924865,4.77687059,4.39408076,3.56719949,3.37475031,3.27232926,3.09783017,2.87308258,2.51184758,2.16567766,2.08246571,1.17336772,0.92458947,0.73532180,0.39773976,0.37079487,0.13613407,-0.03787827,-0.12658322,-0.19643189,-0.63539201,-0.88729884,-1.15248034,-1.45890267,-1.83538217,-2.28224996,-2.70496953,-3.10971752,-3.17506365,-3.33179571,-3.61025950,-3.73110925,-4.02532929,-4.13308249,-4.28978784,-4.67854740,-4.84257738,-5.14623063,-5.20242678,-6.28253216
51,20.37089725,5.52774054,5.16602278,4.68931882,4.34953052,3.66321132,3.48565986,3.30767465,3.19457046,2.83962715,2.23475189,2.19483780,1.98131147,1.19011660,0.81735335,0.69929183,0.47802409,0.43338916,0.21927330,0.05651733,-0.09623158,-0.14304140,-0.64178358,-0.99566152,-1.09718509,-1.43383207,-1.92264696,-2.24564623,-2.75845125,-3.13371051,-3.19477140,-3.28203750,-3.60882938,-3.72242906,-4.01804517,-4.07151128,-4.34716674,-4.67340489,-4.76676223,-5.12944092,-5.24574219,-6.37078922
52,20.27187298,5.53230195,5.16823536,4.92773586,4.37667930,3.56776805,3.32244388,3.29314476,3.12825184,2.86969779,2.38947481,2.21742689,2.10477788,1.15053729,0.88074125,0.70247619,0.39659354,0.36429820,0.16642706,0.00308293,-0.09449351,-0.19329761,-0.64013850,-0.96227242,-1.28746088,-1.37817003,-1.87621001,-2.27771373,-2.71506549,-3.05978749,-3.12592311,-3.29733572,-3.62494497,-3.72985956,-4.07665810,-4.08970242,-4.26216850,-4.67771995,-4.84917505,-5.14164914,-5.26452474,-6.20969691
53,20.37343479,5.55618348,5.17761732,4.67362887,4.37449568,3.74224632,3.58001890,3.32629184,3.18543420,2.82520815,2.29196942,2.10712208,1.94585002,1.18484833,0.75888645,0.56545571,0.47188878,0.32409866,0.16477411,0.02010511,-0.10203634,-0.13862127,-0.66042681,-0.88636424,-1.08870408,-1.37722173,-2.00251990,-2.28952313,-2.69344703,-3.08201330,-3.14965892,-3.30432166,-3.50379416,-3.70318923,-4.05072557,-4.10896615,-4.35446939,-4.61494276,-4.85371924,-5.05228045,-5.24401312,-6.38859971
54,20.32286762,5.55568081,5.19282864,4.78925404,4.36413348,3.68044497,3.57868371,3.31564476,3.10240183,2.85969445,2.28975879,2.15376980,2.03222702,1.17717526,0.86720632,0.53926262,0.43827202,0.25022616,0.13303276,0.03680556,-0.09673209,-0.16704753,-0.65971887,-0.90807013,-1.15987652,-1.37349927,-2.00885324,-2.31106957,-2.69890444,-2.99916261,-3.12646268,-3.30936104,-3.56841285,-3.67094333,-4.08679080,-4.14539032,-4.28572549,-4.62003600,-4.88018017,-5.04898060,-5.26323947,-6.29091362
55,20.37303980,5.52828922,5.17743585,4.79411432,4.45003702,3.73707985,3.53467865,3.24829969,3.08687769,2.82916471,2.51781548,2.10963358,1.96003024,0.95192085,0.76225463,0.56315284,0.44444939,0.32174985,0.08075872,-0.01462563,-0.11168283,-0.13862833,-0.67966261,-0.77899367,-1.14502631,-1.39085834,-1.87404459,-2.34285990,-2.59557707,-3.06646573,-3.15472694,-3.28190672,-3.41498066,-3.68749954,-4.05637725,-4.14486439,-4.42829229,-4.61709024,-4.81412716,-5.11254596,-5.24431276,-6.37563344
56,20.32515502,5.56345459,5.17643886,4.80615985,4.38206477,3.74115108,3.45624155,3.30497465,3.17121197,2.83062340,2.41196309,2.11060430,1.94631177,1.14690085,0.76936689,0.56528429,0.44935596,0.31831768,0.10720342,-0.00536465,-0.10462311,-0.13859498,-0.65766050,-0.93357985,-1.16348611,-1.31294438,-1.96026039,-2.30244616,-2.65043836,-3.07083025,-3.15125459,-3.31521500,-3.46984480,-3.70813421,-4.01218558,-4.14905150,-4.29792331,-4.61333551,-4.90850537,-5.07938803,-5.24161396,-6.33610339
57,20.32246205,5.52795290,5.19370210,4.87572044,4.46951377,3.67807512,3.53134296,3.20647939,3.03335555,2.86093551,2.52760602,2.14767943,2.05615487,0.97978426,0.83250287,0.53677085,0.36101209,0.24563750,0.10438508,-0.01458758,-0.11077015,-0.17160366,-0.69325808,-0.76094070,-1.20838243,-1.39723979,-1.87743684,-2.36517462,-2.60805793,-3.01600865,-3.09405919,-3.29244473,-3.44845994,-3.68657637,-4.10765564,-4.17442312,-4.34672647,-4.62366119,-4.83794777,-5.11554782,-5.26133976,-6.27877033
58,20.27447773,5.56318562,5.18954802,4.90794850,4.38363539,3.68116408,3.45270850,3.29312861,3.08595592,2.86299841,2.41187603,2.14473445,2.05301383,1.14693580,0.86782642,0.53813753,0.37040169,0.24700100,0.11525345,-0.00168152,-0.10095088,-0.16834686,-0.65732019,-0.89203897,-1.24480894,-1.32843671,-1.96365259,-2.32662349,-2.65529407,-3.01701984,-3.10258028,-3.31999002,-3.53003675,-3.67572531,-4.06561010,-4.15449628,-4.28206129,-4.61728306,-4.92699542,-5.06572432,-5.26148507,-6.23176904
59,20.37633037,5.55969550,5.17148129,4.66413917,4.38626803,3.74115224,3.49973052,3.27582609,3.15048728,2.83706873,2.55130082,2.02677701,1.94672373,1.16966451,0.84985219,0.56638423,0.44805037,0.32411752,0.07533136,-0.04093295,-0.12089907,-0.15049386,-0.65323300,-0.93123382,-0.96040850,-1.39492874,-1.93207901,-2.31646703,-2.63836527,-3.10149490,-3.19942056,-3.33303626,-3.46530593,-3.71028742,-3.97477867,-4.11344287,-4.39977176,-4.61301712,-4.88893650,-5.09778428,-5.18534153,-6.39872189
60,20.32591411,5.55920512,5.19139857,4.75459897,4.39408213,3.68118317,3.49625626,3.25874782,3.06915115,2.86824837,2.55344796,2.11671972,2.00136821,1.17764855,0.90178219,0.55723361,0.42265057,0.23315247,0.09088282,-0.04091900,-0.12882789,-0.16962748,-0.65504790,-0.87938995,-1.07839433,-1.39843554,-1.93278072,-2.34023337,-2.64781111,-3.08639211,-3.13201105,-3.33618095,-3.52204510,-3.67860048,-4.05694440,-4.11065094,-4.34284454,-4.61783836,-4.91342058,-5.07443768,-5.20179272,-6.30904555
61,20.46934968,5.44376583,5.20356328,4.52720611,4.38702322,3.66655426,3.60847545,3.30474304,3.17581688,2.79917852,2.44690518,2.01284296,1.94533621,1.15087953,0.98639381,0.69248924,0.45652123,0.32192020,0.16231939,0.01919355,-0.10377574,-0.16841953,-0.66366662,-0.79970907,-0.89732155,-1.58204657,-1.86253266,-2.30525365,-2.66577326,-3.11053985,-3.29346756,-3.32501909,-3.51312585,-3.73699692,-3.90835818,-4.15359054,-4.52479880,-4.58476496,-4.75809462,-5.17482494,-5.18317202,-6.46522560
62,20.37370330,5.52761645,5.17581232,4.65739419,4.36245987,3.56797506,3.48801079,3.29145696,3.11814670,2.86977372,2.35200528,2.17616035,2.06280826,1.15131055,0.99416271,0.75657539,0.44336010,0.38557982,0.14261188,0.02661216,-0.10325717,-0.19208533,-0.64228561,-0.91953779,-1.07202589,-1.50562238,-1.87645759,-2.27445391,-2.75701150,-3.10828639,-3.18977615,-3.30324119,-3.66142696,-3.72832979,-3.91849403,-4.09117404,-4.38788715,-4.67603488,-4.81296979,-5.13837444,-5.20798322,-6.35682067
63,20.42675204,5.55563548,5.17374712,4.52489583,4.37992699,3.74263683,3.60719450,3.29400596,3.16615624,2.82726486,2.42179699,2.01588549,1.94138781,1.15053566,0.91359401,0.56661463,0.47628097,0.32824869,0.11149163,0.00398566,-0.10521099,-0.14277187,-0.65856627,-0.80960989,-0.97378958,-1.45419942,-1.97028473,-2.30212011,-2.67715861,-3.12744129,-3.17976215,-3.30976803,-3.50095852,-3.70585537,-3.95955776,-4.05203849,-4.52555170,-4.61293068,-4.83933029,-5.06224195,-5.19362473,-6.46526495
64,20.37645466,5.55508788,5.19481443,4.63599752,4.36934531,3.68060716,3.60686073,3.27921149,3.08564208,2.86186457,2.41776615,2.13017733,1.96733482,1.14725750,0.96693791,0.57723011,0.48093885,0.23076269,0.09977458,0.01200402,-0.10370933,-0.16701443,-0.65925194,-0.90776506,-0.97547442,-1.45463119,-1.97218710,-2.32490361,-2.68565359,-3.08176233,-3.13907579,-3.31639681,-3.56282370,-3.67396069,-3.96616668,-4.12148613,-4.42820461,-4.61868750,-4.87089672,-5.05315863,-5.20967688,-6.38318268
65,20.42385453,5.52635224,5.17456463,4.65315276,4.43134639,3.73664728,3.57228482,3.24129647,3.05772560,2.84674869,2.65741471,2.02290878,1.96255258,1.04441973,0.78759208,0.56850526,0.43781299,0.32930051,0.06218140,-0.05270934,-0.12891645,-0.18669150,-0.66906342,-0.78375587,-0.96205823,-1.45191088,-1.83528623,-2.36035003,-2.58604227,-3.09390223,-3.20348136,-3.31352974,-3.41448874,-3.68565373,-3.97518676,-4.16037103,-4.50423645,-4.61542438,-4.80179092,-5.12643808,-5.18560086,-6.43977296
66,20.37353447,5.52602396,5.19598266,4.70844887,4.47446466,3.67736993,3.56943693,3.19224281,3.00974723,2.87296983,2.67057932,2.12408105,2.00267030,1.07718145,0.81778461,0.56039414,0.40378396,0.23457436,0.08792955,-0.05103697,-0.15566014,-0.19635467,-0.69573579,-0.76042228,-1.03798983,-1.45445353,-1.83493667,-2.38171981,-2.60095921,-3.08108116,-3.13057346,-3.31659483,-3.44846013,-3.68114465,-4.03285537,-4.18722662,-4.40227873,-4.62372689,-4.82501386,-5.12257946,-5.20184234,-6.35655369
67,20.41974844,5.40597654,5.19643845,4.63593792,4.37093559,3.61451602,3.58218923,3.31715130,3.17893820,2.87053227,2.42741884,2.20083768,1.97039342,1.15266266,1.03980071,0.64690046,0.48775579,0.22995026,0.15288188,0.00629463,-0.07994346,-0.32556473,-0.65888726,-0.87169807,-0.97077476,-1.51404168,-1.97319104,-2.42337976,-2.68330118,-2.89701464,-3.14828163,-3.36491657,-3.54908011,-3.71762161,-3.92734927,-4.14504990,-4.43764193,-4.62015951,-4.84089096,-5.17655705,-5.19687939,-6.38503576
68,20.46933206,5.37863156,5.20456277,4.58630461,4.45270737,3.66313751,3.58358512,3.29196765,3.07727048,2.86169439,2.53078996,2.21895461,1.97729490,1.07272467,0.88185712,0.66360162,0.48464826,0.23146793,0.13407073,0.00267443,-0.10008282,-0.32583523,-0.69253602,-0.72193450,-0.95912051,-1.55729435,-1.88046366,-2.46581916,-2.62869639,-2.89719721,-3.15114838,-3.28974026,-3.46046761,-3.73322341,-3.93839155,-4.21533153,-4.49803330,-4.63089969,-4.75922251,-5.17838967,-5.23458301,-6.44886701
69,20.36951157,5.40866740,5.19394126,4.75485452,4.39826524,3.58977860,3.49617060,3.30839656,3.15543166,2.87682749,2.55632387,2.18387271,2.00608590,1.20400859,0.93091664,0.61559692,0.47634975,0.23489762,0.12515643,-0.03581230,-0.11620877,-0.32465062,-0.65501482,-0.83337831,-1.07726642,-1.45552220,-1.93547637,-2.42601853,-2.64820152,-2.89473481,-3.18644825,-3.36852816,-3.51130867,-3.72673408,-3.99806039,-4.12078752,-4.36803257,-4.61841342,-4.88834503,-5.17789864,-5.20763098,-6.31058097
70,20.41695382,5.37840515,5.19804181,4.70663307,4.47704803,3.58664172,3.56754357,3.28862174,3.05531448,2.87881517,2.66415917,2.19936490,2.00528560,1.12966409,0.81361210,0.61650565,0.47012565,0.23742528,0.11519736,-0.03591152,-0.18036063,-0.32479293,-0.69653780,-0.71502470,-1.04080384,-1.49778085,-1.84203262,-2.47107277,-2.60019558,-2.89483378,-3.19063364,-3.30400782,-3.46085883,-3.72193720,-3.98908388,-4.23118739,-4.40400736,-4.62372933,-4.79190290,-5.17851332,-5.25092101,-6.35922865
71,20.36660096,5.40620195,5.19455994,4.78928814,4.36528640,3.60294839,3.56304822,3.33460716,3.21426145,2.87027185,2.29148697,2.21270581,2.04773004,1.17627763,0.91886728,0.59701635,0.51462644,0.24984163,0.18144812,0.02631035,-0.06400017,-0.32596832,-0.65908170,-0.87338076,-1.16054317,-1.42548433,-2.01226888,-2.42062934,-2.69238750,-2.93001639,-3.02883883,-3.36549349,-3.55226499,-3.71530526,-4.07460083,-4.14399990,-4.29246920,-4.62123720,-4.85048210,-5.18481032,-5.23708019,-6.29304219
72,20.31850172,5.41315097,5.19219397,4.90770639,4.38673970,3.58994324,3.45173065,3.32327489,3.18931739,2.87135094,2.41319922,2.19256458,2.07539989,1.15555269,0.89720128,0.56539854,0.49830406,0.25081870,0.14728555,-0.01562881,-0.06735812,-0.32494990,-0.65728537,-0.85229740,-1.24947450,-1.36830520,-1.96877552,-2.42423456,-2.65453143,-2.92211540,-3.05837782,-3.36557769,-3.51754942,-3.71842638,-4.05878993,-4.15885980,-4.26620068,-4.61814225,-4.90181110,-5.19553693,-5.24170436,-6.23370179
73,20.36630200,5.37978859,5.19576680,4.87546014,4.47054791,3.58472648,3.53114909,3.29202412,3.08770695,2.86225548,2.52561867,2.20279928,2.07503646,1.01308664,0.83203025,0.56641376,0.49274347,0.25221110,0.13206853,-0.02611601,-0.08645773,-0.32534759,-0.69399850,-0.71938514,-1.21620736,-1.42828109,-1.88352264,-2.46688584,-2.60606746,-2.92198714,-3.05896719,-3.29295432,-3.45990785,-3.73127000,-4.08184948,-4.22897876,-4.31597927,-4.62367263,-4.80766337,-5.22469630,-5.25549414,-6.28204591
74,20.42337153,5.52550353,5.18618375,4.64714132,4.45547956,3.73635924,3.61653432,3.25998784,3.12425754,2.82164642,2.39041405,2.10681036,1.96325510,0.95113866,0.76253680,0.56300019,0.47158322,0.33090317,0.14284664,0.02865237,-0.10298979,-0.13853835,-0.67839366,-0.70812423,-1.09206814,-1.44915025,-1.92159259,-2.32504439,-2.63298548,-3.08248436,-3.14561055,-3.26135897,-3.42563639,-3.68829874,-4.08401450,-4.10916551,-4.49103045,-4.62295591,-4.77810613,-5.08975513,-5.24223237,-6.43806975
75,20.47641681,5.52529115,5.18287210,4.49228647,4.44608462,3.73601764,3.66373114,3.24697413,3.07901389,2.82613005,2.52760898,2.01573677,1.96078374,0.96010706,0.87763507,0.56967739,0.46937943,0.33626325,0.08305138,0.00414136,-0.11081893,-0.14906293,-0.64733766,-0.70176462,-0.94744221,-1.51035151,-1.87677784,-2.34181358,-2.61917426,-3.12179879,-3.18993779,-3.26633375,-3.42730221,-3.68576929,-3.95861909,-4.09761687,-4.60933216,-4.63740727,-4.77751948,-5.09399418,-5.19008073,-6.51894727
76,20.42623238,5.52501188,5.20280257,4.58666216,4.45496673,3.67767362,3.66023135,3.20127641,3.02975706,2.86034885,2.53053435,2.13754117,1.97574475,1.00414624,0.88070098,0.58800389,0.47144319,0.23153678,0.09017176,0.00045793,-0.11755295,-0.16763147,-0.69172219,-0.74555842,-0.97209834,-1.51039937,-1.87737973,-2.36307718,-2.63229877,-3.07774458,-3.13780454,-3.27918746,-3.45479478,-3.68951340,-3.96864746,-4.16932341,-4.50098463,-4.63075835,-4.79725125,-5.09534663,-5.21044994,-6.44571921
77,20.37291987,5.52521361,5.20080058,4.75757403,4.45118396,3.67766418,3.61276943,3.22680039,3.06511509,2.85674998,2.39672173,2.15468148,2.04153059,0.94194429,0.87181175,0.53752990,0.44170795,0.24957341,0.12058979,0.04279128,-0.09902362,-0.16731549,-0.68776154,-0.75080601,-1.14146664,-1.44679692,-1.92758565,-2.34570719,-2.64399828,-2.99552579,-3.11955615,-3.27213345,-3.45456399,-3.69373567,-4.10200172,-4.18319918,-4.37269332,-4.62815129,-4.80570383,-5.09384195,-5.26404204,-6.35006358
78,20.26635728,5.34217232,5.21900562,5.02884853,4.41713680,3.49303891,3.37051551,3.14771624,3.06756651,2.90302140,2.61559666,2.29448090,2.15886767,1.10946589,0.97957995,0.67561250,0.34325763,0.26684123,0.17649617,0.00555472,-0.12511921,-0.30923704,-0.67308831,-0.80361935,-1.29235354,-1.38205660,-1.86590512,-2.35744632,-2.81959397,-2.88443510,-3.09377184,-3.43867863,-3.53662653,-3.68459377,-4.03101703,-4.12531845,-4.17670491,-4.54859203,-5.03302906,-5.25413902,-5.31404209,-6.13176454
79,20.31514927,5.34205620,5.22302859,4.85097240,4.44017242,3.49277985,3.39669834,3.16741055,3.02530734,2.88208762,2.82087088,2.22783255,2.16241310,1.09420385,1.09341569,0.68867455,0.33834227,0.26684134,0.14588814,0.01139913,-0.27498006,-0.31308118,-0.56832136,-0.80367245,-1.24318302,-1.39102879,-1.85491015,-2.35764322,-2.77992132,-2.88156645,-3.26250053,-3.44033217,-3.53006373,-3.68676884,-3.99013418,-4.08638755,-4.26647413,-4.54594375,-5.00206321,-5.19075485,-5.31963910,-6.19617404
80,20.36277216,5.34508296,5.22759919,4.77147271,4.36622807,3.50661537,3.45415507,3.28330688,3.17926902,2.93317139,2.34327065,2.23832410,2.17422037,1.28476353,0.98045623,0.71627749,0.35662445,0.26689353,0.24100358,0.03129431,0.00658158,-0.30850778,-0.80275011,-0.83502017,-1.22118864,-1.38512846,-1.93728865,-2.35976074,-2.82945995,-2.95352259,-3.09928906,-3.43662154,-3.58530250,-3.67247007,-4.02758749,-4.12317487,-4.23611723,-4.54722541,-4.90117896,-5.26466176,-5.30231554,-6.24081115
81,20.41575431,5.34400770,5.23321224,4.60891791,4.37255238,3.51524293,3.50129083,3.19349328,3.18656523,2.92733499,2.49807484,2.17565242,2.17139695,1.24878540,1.12604515,0.71961480,0.34333189,0.26689408,0.18099818,0.03894457,-0.07771295,-0.30858929,-0.73870887,-0.80275026,-1.08165834,-1.46142344,-1.91191236,-2.35979175,-2.80450604,-2.92536289,-3.23596987,-3.43662215,-3.58456231,-3.67255123,-3.85783742,-4.12698723,-4.39271745,-4.54452504,-4.88740890,-5.21899883,-5.30472399,-6.33278949
82,20.32735671,5.61406108,5.15602865,4.76815450,4.41085476,3.67679501,3.47373654,3.22420317,3.08970617,2.88860174,2.33857837,2.23141551,2.08587155,0.96293281,0.88013555,0.53832187,0.42371744,0.35354093,0.14306791,0.05119610,-0.07001736,-0.16745460,-0.66112461,-0.98413530,-1.14098044,-1.36885124,-1.93763215,-2.31184106,-2.70060946,-2.94745605,-3.17158047,-3.25234762,-3.54430419,-3.67608191,-4.01650281,-4.15400541,-4.35413189,-4.66896009,-4.87036947,-5.03996884,-5.26955777,-6.33036361
83,20.38090727,5.61399821,5.15819356,4.60278536,4.41777024,3.67652908,3.52053124,3.20729884,3.04406024,2.89012478,2.46856972,2.16641002,2.06554282,0.98926145,0.92124121,0.57158248,0.46774715,0.36684073,0.09926600,0.01631897,-0.09989360,-0.16777512,-0.66570027,-0.96214356,-0.99101912,-1.41756432,-1.88797069,-2.31732750,-2.68551323,-3.06483002,-3.18010464,-3.26095948,-3.54531594,-3.67234332,-3.96627090,-4.07659177,-4.47217685,-4.67162594,-4.85980877,-5.04026301,-5.21772906,-6.42205226
84,20.37812332,5.61358094,5.14851663,4.65658629,4.40784025,3.73990878,3.47466922,3.26361710,3.13679874,2.86192266,2.33355167,2.21011867,1.97116132,0.98815416,0.75758984,0.55525836,0.47781475,0.41447460,0.13738905,0.04918644,-0.07105081,-0.13267781,-0.65964849,-0.88434119,-1.11515662,-1.36937517,-1.93412001,-2.28875686,-2.68064118,-3.05411212,-3.18727858,-3.24427044,-3.53280188,-3.65566091,-3.98372028,-4.11441460,-4.47668339,-4.67514531,-4.80957002,-5.03332644,-5.25161327,-6.42189742
85,20.43140223,5.61342343,5.14471336,4.49760572,4.41275518,3.74005916,3.51951913,3.25667798,3.08545853,2.86362436,2.46548642,2.11276264,1.97311177,0.95870938,0.90389895,0.55697235,0.47818338,0.43722789,0.07766407,0.04314351,-0.10302287,-0.13737140,-0.66290363,-0.79012150,-1.02977875,-1.41761183,-1.88833888,-2.29308038,-2.66282569,-3.16473566,-3.17993963,-3.25301013,-3.53527300,-3.65588154,-3.96056565,-4.01806380,-4.61225628,-4.67478247,-4.79740476,-5.03415842,-5.20222134,-6.49905183
86,20.36563482,5.34288498,5.22811496,4.75140746,4.38896599,3.50769244,3.46070432,3.19508589,3.07272313,2.91154780,2.65963641,2.19797872,2.16104189,1.23689408,1.03580478,0.70745538,0.34068136,0.26721683,0.16321774,0.03013806,-0.16772577,-0.30899731,-0.64498610,-0.80580277,-1.17585648,-1.42663127,-1.88176803,-2.36193228,-2.79914456,-2.89069887,-3.23859519,-3.43709590,-3.56878429,-3.67059378,-3.91973143,-4.14442827,-4.30600716,-4.54549738,-4.95049177,-5.20080251,-5.31379700,-6.26545892
87,20.31478529,5.34293901,5.22353490,4.91532061,4.38004130,3.50191805,3.42572966,3.19942166,3.11834573,2.92256459,2.49173444,2.24893786,2.16486806,1.22861338,0.94438185,0.69893657,0.34916038,0.26768828,0.21111320,0.02915313,-0.05561986,-0.30869032,-0.74184371,-0.80861793,-1.31402946,-1.34271232,-1.89952191,-2.36210661,-2.83251856,-2.89896640,-3.09804368,-3.43689388,-3.57259723,-3.67163423,-4.03542694,-4.16060499,-4.17225798,-4.54841067,-4.97193904,-5.24675989,-5.31232331,-6.18766903
