graph_idx,ev_1,ev_2,ev_3,ev_4,ev_5,ev_6,ev_7,ev_8,ev_9,ev_10,ev_11,ev_12,ev_13,ev_14,ev_15,ev_16,ev_17,ev_18,ev_19,ev_20,ev_21,ev_22,ev_23,ev_24,ev_25,ev_26,ev_27,ev_28,ev_29,ev_30,ev_31,ev_32,ev_33,ev_34,ev_35,ev_36,ev_37,ev_38,ev_39,ev_40,ev_41,ev_42
11,20.41612568,5.39053919,5.29374875,4.61958905,4.38426650,3.61568262,3.55466210,3.21546794,3.04027898,2.89266883,2.56097662,2.12435159,2.04577938,1.24170393,1.03349325,0.66552620,0.25353096,0.17843452,0.14514895,0.03942926,-0.05576493,-0.20368245,-0.61501210,-0.85918854,-0.98570659,-1.48531374,-1.91080245,-2.27270437,-2.74872877,-3.01965110,-3.15777101,-3.41047061,-3.56934032,-3.66690806,-3.90597110,-4.24949821,-4.42224896,-4.46316393,-4.88796623,-5.22543380,-5.24597140,-6.35010564
12,20.32295091,5.50592757,5.26931878,4.76185529,4.36750032,3.67943250,3.54077587,3.11721713,2.97504178,2.95212605,2.65857072,2.09555722,2.06200383,1.20686441,0.98469754,0.46247198,0.28178010,0.15576049,0.13623292,0.02411890,-0.11003198,-0.17221663,-0.71975219,-0.85424004,-1.08736242,-1.31607252,-1.95295859,-2.30332677,-2.76978835,-2.99644533,-3.07077247,-3.38498790,-3.54407494,-3.58491271,-4.02171808,-4.15015267,-4.34975729,-4.47476714,-5.02389521,-5.13821837,-5.25138241,-6.28337031
13,20.22717758,5.61485560,5.19237969,4.93062611,4.34192037,3.67921708,3.38886064,3.18738418,3.00114045,2.96823585,2.44740577,2.25044786,2.06247201,1.22413535,0.88856864,0.36930613,0.32074352,0.26700877,0.14684448,0.03959042,-0.03081838,-0.14125756,-0.78554951,-0.87938218,-1.19982794,-1.33258204,-1.96584477,-2.25771069,-2.83947287,-2.96953982,-3.08940469,-3.36234328,-3.56557753,-3.61340377,-4.04485758,-4.11770606,-4.19371696,-4.55799344,-5.01647936,-5.10353178,-5.29707749,-6.18424277
14,20.17816900,5.61940343,5.18748614,5.03895849,4.37346368,3.67845736,3.29683436,3.13164830,2.96911786,2.96783155,2.56705903,2.29858444,2.06153913,1.11620928,0.92683372,0.35863469,0.29417422,0.25599010,0.14503459,-0.00124056,-0.06437047,-0.16450412,-0.79047337,-0.82440783,-1.14655765,-1.40935220,-1.93759102,-2.26618148,-2.87587855,-2.89647399,-3.09095298,-3.37506964,-3.56657606,-3.57369512,-3.99848941,-4.08860512,-4.21285241,-4.56145539,-5.03856006,-5.17075351,-5.28275263,-6.12863585
15,20.22779493,5.61723166,5.19274200,4.86650159,4.39087553,3.67845336,3.33278038,3.10201104,2.97890027,2.93183560,2.77016837,2.23253872,2.06196384,1.09855873,1.02232232,0.35116520,0.34947045,0.26970148,0.14599026,0.00663275,-0.11756681,-0.27462542,-0.76022609,-0.79048592,-1.21286002,-1.26192664,-1.93147005,-2.26718407,-2.87399548,-3.04975422,-3.08717892,-3.38591048,-3.56523722,-3.56682808,-4.04207612,-4.08860461,-4.19867370,-4.55695814,-5.04839098,-5.11206713,-5.24197681,-6.19364156
16,20.27573146,5.61285955,5.19673289,4.79321137,4.33042828,3.67960236,3.40441828,3.33850793,3.01873484,2.96999911,2.29598607,2.24722537,2.06451736,1.29479603,0.87485918,0.37360832,0.32173066,0.31567141,0.14718784,0.05305126,0.02292251,-0.13432320,-0.79281445,-0.94059294,-1.22713105,-1.24243370,-2.00284478,-2.23661251,-2.87615761,-2.98720552,-3.08815720,-3.35579721,-3.57973675,-3.63932824,-4.05265273,-4.12693291,-4.20774351,-4.55411341,-5.00927981,-5.01820582,-5.32286854,-6.23685019
17,20.32959779,5.61284599,5.20356125,4.63340267,4.33381333,3.67930943,3.47018109,3.24065130,3.00641236,2.97314326,2.44234299,2.18090354,2.06459327,1.25654259,0.99279284,0.42942709,0.35373921,0.29179830,0.14722428,0.02445983,-0.05344015,-0.13673119,-0.79289541,-0.87869501,-1.08997618,-1.29712757,-1.98330729,-2.24095494,-2.95931457,-3.01395407,-3.08209650,-3.35743148,-3.58098447,-3.63618138,-3.96348970,-4.05521060,-4.37639010,-4.55133925,-4.97909194,-5.02113376,-5.28764520,-6.32935165
18,20.22276962,5.51251374,5.26173104,5.03064112,4.39504530,3.67820127,3.42608395,3.09430878,2.97011349,2.95082410,2.60547951,2.18152450,2.06589758,1.10255394,0.93837350,0.36065582,0.29430721,0.15558855,0.14177081,0.00189224,-0.06448264,-0.16554780,-0.70085160,-0.85438866,-1.17575185,-1.34835865,-1.93582618,-2.31786674,-2.76545348,-2.93424627,-3.00423570,-3.39492858,-3.52498949,-3.56676339,-3.99849061,-4.21284115,-4.23822496,-4.47923821,-5.13075628,-5.15334652,-5.27848963,-6.14519770
19,20.27220083,5.50928423,5.26668726,4.85708933,4.40991328,3.67818617,3.45548606,3.06303513,2.97897463,2.91833325,2.81090681,2.12073109,2.06708880,1.08419349,1.05005218,0.44711397,0.27321336,0.15602907,0.12742082,0.00760159,-0.12103196,-0.27682005,-0.67661932,-0.85448660,-1.16104977,-1.25809833,-1.92901559,-2.32707980,-2.75639474,-2.98658041,-3.08294656,-3.40552695,-3.51731285,-3.56709976,-4.07356934,-4.08791691,-4.30640145,-4.47550214,-5.10154253,-5.14404333,-5.23012021,-6.21438273
20,20.31969042,5.50372154,5.26646017,4.78988929,4.35485523,3.67870175,3.53032911,3.31218578,2.98291156,2.97050615,2.35899480,2.12909377,2.07457128,1.28686467,0.87634761,0.38445770,0.33637998,0.17412085,0.15475233,0.03350177,0.02321976,-0.13782224,-0.77325845,-0.85674680,-1.18281741,-1.29715080,-2.00192379,-2.26022803,-2.79787990,-2.94045804,-3.05287209,-3.37476657,-3.58118367,-3.59590178,-4.12555514,-4.15199570,-4.26885087,-4.47699629,-4.99580197,-5.10438201,-5.31117775,-6.25378624
21,20.37332888,5.50368910,5.27203162,4.62671511,4.35662395,3.67856130,3.59046507,3.21758638,2.97319516,2.97231721,2.50808472,2.07511616,2.06610568,1.24564586,1.00361755,0.49109691,0.29181316,0.15552494,0.14523452,0.02521150,-0.05473058,-0.14014315,-0.76782966,-0.85678522,-0.98744195,-1.36729955,-1.98175828,-2.27234351,-2.78948974,-3.02779110,-3.05335137,-3.37612199,-3.58272567,-3.59179247,-3.96304521,-4.16643674,-4.41784896,-4.47386431,-4.96741447,-5.10985216,-5.27386927,-6.35002942
22,20.27083782,5.50155422,5.21858892,4.92475306,4.36837439,3.55774118,3.41179860,3.18645432,3.03097755,2.92637567,2.48922659,2.24886737,2.11131127,1.22013810,0.88980820,0.54660515,0.35367989,0.26671006,0.16791060,0.04395377,-0.03372844,-0.20367894,-0.75652385,-0.80997654,-1.30091275,-1.32882098,-1.90038291,-2.25900911,-2.87913152,-2.98840687,-3.04421843,-3.39561278,-3.59863046,-3.66949339,-4.07460710,-4.11973580,-4.19583120,-4.55390551,-4.98514693,-5.16794958,-5.28549418,-6.18446945
23,20.32211132,5.50165782,5.22266371,4.76243571,4.37717441,3.55912310,3.45750161,3.12693996,3.03272925,2.91275632,2.65294179,2.19172879,2.11279343,1.21269014,0.97792032,0.58847081,0.34904693,0.23435182,0.17900775,0.03275173,-0.14432675,-0.21055635,-0.67274175,-0.80607852,-1.18057339,-1.38016895,-1.88144999,-2.26235932,-2.87619298,-3.03078853,-3.10469803,-3.40743260,-3.58740259,-3.67023714,-3.98475791,-4.14111586,-4.28311069,-4.54961338,-4.96140283,-5.17293822,-5.23607096,-6.26277999
24,20.51434852,5.57207555,4.23579335,4.18721639,3.76659731,3.76207211,3.48698822,3.24020618,2.84613168,2.57563753,2.55178078,2.46682645,2.22446714,2.02693484,1.50195417,1.31170569,0.76054667,0.70693991,0.04626299,-0.30707890,-0.34938130,-0.76539346,-0.89859501,-1.11268273,-1.29772525,-1.40113044,-1.52165103,-1.54574325,-2.06548820,-2.22667203,-3.00484556,-3.01415157,-3.42252901,-3.66492465,-4.21684152,-4.46339859,-4.54825478,-4.63256881,-5.41961614,-5.44688529,-6.16723857,-6.29168938
25,20.27145346,5.50620283,5.26408899,4.92664947,4.36357609,3.67884782,3.49861541,3.17467421,2.97463065,2.96781740,2.48635911,2.14689807,2.06773514,1.21447969,0.89231319,0.37096340,0.31112725,0.15984428,0.15513593,0.03433403,-0.02632746,-0.14345664,-0.73848333,-0.85458566,-1.22523440,-1.28995458,-1.96647864,-2.29264218,-2.77594666,-2.92883583,-3.03469932,-3.38127715,-3.54988637,-3.58543663,-4.07455891,-4.19322660,-4.24247807,-4.47837342,-5.05904121,-5.13555455,-5.28831466,-6.20095416
26,20.41619950,5.41827018,5.20900264,4.79955741,4.45154959,3.65413647,3.54258429,3.25316743,3.09166317,2.81002838,2.52706949,2.09359968,1.97792028,0.96708869,0.77778602,0.72827151,0.43587157,0.30960291,0.13250746,-0.01921893,-0.11005422,-0.14468872,-0.63577611,-0.70639609,-1.15215486,-1.48419085,-1.80477827,-2.34523517,-2.60233738,-3.05732080,-3.23810342,-3.28907225,-3.43119413,-3.72216597,-4.06121316,-4.21054284,-4.46513209,-4.58999246,-4.71041557,-5.19093368,-5.24950577,-6.37545392
27,20.36592920,5.41839204,5.22549402,4.87696004,4.47920284,3.56676997,3.53778428,3.21836812,3.05073093,2.83618758,2.54870653,2.16091218,2.04627827,0.98740740,0.84748805,0.70668907,0.35663908,0.29022301,0.09466850,-0.01968038,-0.11378076,-0.19402810,-0.62106587,-0.69568830,-1.22076226,-1.48154195,-1.80800258,-2.36756720,-2.61814198,-3.05892466,-3.11266075,-3.28941113,-3.45864572,-3.76305119,-4.07944347,-4.24677592,-4.38947186,-4.62080969,-4.70964490,-5.20503394,-5.26188587,-6.27881264
28,20.36846375,5.45005704,5.20573467,4.81373140,4.38831045,3.65608387,3.46139212,3.31029006,3.18488014,2.80343429,2.42898796,2.09526705,1.97082795,1.15126178,0.80087091,0.71560878,0.44449074,0.30870176,0.16604459,0.00438162,-0.10643755,-0.15236640,-0.66402030,-0.83602781,-1.16527418,-1.42615432,-1.86603372,-2.30430765,-2.64897569,-3.06784822,-3.24276663,-3.31198995,-3.49641709,-3.73740946,-4.04171041,-4.20648112,-4.30053880,-4.58690504,-4.81266470,-5.17501018,-5.24324963,-6.33623204
